Name,Team,Season,Age,G,GS,IP,K/9,BB/9,K%,BB%,ERA,FIP,xFIP,BABIP,LOB%,HR/9
Tarik Skubal,DET,2025,28,31,31,195.1,11.1,1.52,0.322,0.044000000000000004,2.21,2.45,2.66,0.273,0.8059999999999999,0.83
Paul Skenes,PIT,2025,23,32,32,187.2,10.36,2.01,0.295,0.057,1.97,2.36,3.03,0.273,0.8240000000000001,0.53
Cristopher Sanchez,PHI,2025,28,32,32,202.0,9.45,1.96,0.263,0.055,2.5,2.55,2.77,0.298,0.7979999999999999,0.53
Garrett Crochet,BOS,2025,26,32,32,205.1,11.18,2.02,0.313,0.057,2.59,2.89,2.64,0.29,0.843,1.05
Logan Webb,SFG,2025,28,34,34,207.0,9.74,2.0,0.262,0.054000000000000006,3.22,2.6,2.78,0.346,0.743,0.61
Jesus Luzardo,PHI,2025,27,32,32,183.2,10.58,2.79,0.285,0.075,3.92,2.9,3.25,0.324,0.6940000000000001,0.78
Yoshinobu Yamamoto,LAD,2025,26,30,30,173.2,10.42,3.06,0.294,0.086,2.49,2.94,3.05,0.243,0.785,0.73
Max Fried,NYY,2025,31,32,32,195.1,8.71,2.35,0.23600000000000002,0.064,2.86,3.07,3.41,0.279,0.74,0.65
Hunter Brown,HOU,2025,26,31,31,185.1,10.0,2.77,0.28300000000000003,0.078,2.43,3.14,3.19,0.262,0.82,0.83
Kevin Gausman,TOR,2025,34,32,32,193.0,8.81,2.33,0.244,0.065,3.59,3.41,3.77,0.262,0.722,0.98
Framber Valdez,HOU,2025,31,31,31,192.0,8.77,3.19,0.233,0.085,3.66,3.37,3.34,0.297,0.7290000000000001,0.7
Ranger Suarez,PHI,2025,29,26,26,157.1,8.64,2.17,0.23199999999999998,0.057999999999999996,3.2,3.21,3.61,0.317,0.79,0.8
Zack Wheeler,PHI,2025,35,24,24,149.2,11.73,1.98,0.33299999999999996,0.055999999999999994,2.71,3.0,2.73,0.267,0.8240000000000001,1.14
Andrew Abbott,CIN,2025,26,29,29,166.1,8.06,2.33,0.218,0.063,2.87,3.66,4.31,0.274,0.8,1.03
Nick Pivetta,SDP,2025,32,31,31,181.2,9.41,2.48,0.264,0.069,2.87,3.49,3.85,0.235,0.787,1.09
Nathan Eovaldi,TEX,2025,35,22,22,130.0,8.93,1.45,0.26,0.042,1.73,2.8,3.03,0.243,0.865,0.69
Freddy Peralta,MIL,2025,29,33,33,176.2,10.39,3.36,0.282,0.091,2.7,3.64,3.85,0.243,0.855,1.07
Bryan Woo,SEA,2025,25,30,30,186.2,9.55,1.74,0.271,0.049,2.94,3.47,3.33,0.238,0.804,1.25
Sonny Gray,STL,2025,35,32,32,180.2,10.01,1.89,0.267,0.05,4.28,3.39,3.07,0.329,0.696,1.25
Michael Wacha,KCR,2025,33,31,31,172.2,6.57,2.35,0.17600000000000002,0.063,3.86,3.66,4.56,0.287,0.727,0.78
Chris Sale,ATL,2025,36,21,20,125.2,11.82,2.29,0.324,0.063,2.58,2.67,2.98,0.313,0.826,0.79
Matthew Boyd,CHC,2025,34,31,31,179.2,7.71,2.1,0.214,0.057999999999999996,3.21,3.65,4.22,0.273,0.762,0.95
Jacob deGrom,TEX,2025,37,30,30,172.2,9.64,1.93,0.27699999999999997,0.055,2.97,3.64,3.37,0.23,0.836,1.36
Dylan Cease,SDP,2025,29,32,32,168.0,11.52,3.8,0.298,0.098,4.55,3.56,3.56,0.32,0.69,1.13
Trevor Rogers,BAL,2025,27,18,18,109.2,8.45,2.38,0.243,0.069,1.81,2.82,3.64,0.226,0.8420000000000001,0.49
Kris Bubic,KCR,2025,27,20,20,116.1,8.97,3.02,0.244,0.08199999999999999,2.55,2.89,3.63,0.295,0.775,0.46
Carlos Rodon,NYY,2025,32,33,33,195.1,9.35,3.36,0.257,0.09300000000000001,3.09,3.78,3.89,0.228,0.764,1.01
Joe Ryan,MIN,2025,29,31,30,171.0,10.21,2.05,0.282,0.057,3.42,3.74,3.7,0.268,0.7859999999999999,1.37
Merrill Kelly,- - -,2025,36,32,32,184.0,8.17,2.35,0.223,0.064,3.52,3.76,3.81,0.264,0.732,1.13
David Peterson,NYM,2025,29,30,30,168.2,8.0,3.47,0.207,0.09,4.22,3.48,3.72,0.316,0.6920000000000001,0.59
Jose Soriano,LAA,2025,26,31,31,169.0,8.09,4.15,0.21,0.10800000000000001,4.26,3.73,3.54,0.306,0.6779999999999999,0.64
Brady Singer,CIN,2025,28,32,32,169.2,8.65,3.18,0.228,0.084,4.03,3.98,4.25,0.285,0.7290000000000001,1.01
Hunter Greene,CIN,2025,25,19,19,107.2,11.03,2.17,0.314,0.062,2.76,3.27,3.27,0.245,0.8290000000000001,1.25
MacKenzie Gore,WSN,2025,26,30,30,159.2,10.43,3.61,0.272,0.094,4.17,3.74,3.78,0.325,0.7559999999999999,1.13
Nick Lodolo,CIN,2025,27,29,28,156.2,8.96,1.78,0.243,0.048,3.33,3.81,3.66,0.276,0.807,1.26
Cade Smith,CLE,2025,26,76,0,73.2,12.71,2.32,0.34700000000000003,0.063,2.93,1.95,2.65,0.302,0.649,0.49
Luis Castillo,SEA,2025,32,32,32,180.2,8.07,2.29,0.217,0.062,3.54,3.88,4.09,0.286,0.768,1.15
Dean Kremer,BAL,2025,29,31,29,171.2,7.44,2.36,0.201,0.064,4.19,3.97,4.24,0.284,0.7090000000000001,1.15
Logan Gilbert,SEA,2025,28,25,25,131.0,11.89,2.13,0.32299999999999995,0.057999999999999996,3.44,3.35,2.95,0.276,0.7809999999999999,1.37
Aroldis Chapman,BOS,2025,37,67,0,61.1,12.47,2.2,0.373,0.066,1.17,1.73,2.53,0.2,0.8759999999999999,0.44
Chad Patrick,MIL,2025,26,27,23,119.2,9.55,3.01,0.252,0.08,3.53,3.53,3.98,0.313,0.778,0.98
Clayton Kershaw,LAD,2025,37,23,22,112.2,6.71,2.8,0.18100000000000002,0.076,3.36,3.55,4.18,0.281,0.728,0.64
Drew Rasmussen,TBR,2025,29,31,31,150.0,7.62,2.22,0.217,0.063,2.76,3.84,3.72,0.246,0.836,1.08
Luis Severino,ATH,2025,31,29,29,162.2,6.86,2.77,0.17600000000000002,0.071,4.54,4.11,4.63,0.293,0.657,0.89
Jack Flaherty,DET,2025,29,31,31,161.0,10.51,3.3,0.276,0.087,4.64,3.85,3.69,0.305,0.705,1.29
Yusei Kikuchi,LAA,2025,34,33,33,178.1,8.78,3.73,0.225,0.096,3.99,4.23,4.28,0.314,0.7609999999999999,1.21
Janson Junk,MIA,2025,29,21,16,110.0,6.3,1.06,0.172,0.028999999999999998,4.17,3.14,4.06,0.301,0.637,0.65
Mitch Keller,PIT,2025,29,32,32,176.1,7.66,2.6,0.2,0.068,4.19,4.02,4.17,0.29,0.696,1.07
Kyle Freeland,COL,2025,32,31,31,162.2,6.86,2.1,0.175,0.054000000000000006,4.98,4.18,4.29,0.329,0.64,1.22
Casey Mize,DET,2025,28,28,28,149.0,8.4,2.17,0.222,0.057,3.87,3.89,3.97,0.308,0.763,1.27
Chris Bassitt,TOR,2025,36,32,31,170.1,8.77,2.75,0.226,0.071,3.96,4.01,3.84,0.315,0.764,1.16
George Kirby,SEA,2025,27,23,23,126.0,9.79,2.07,0.261,0.055,4.21,3.37,3.25,0.315,0.713,1.07
Spencer Schwellenbach,ATL,2025,25,17,17,110.2,8.78,1.46,0.249,0.040999999999999995,3.09,3.25,3.01,0.259,0.716,1.06
Jack Leiter,TEX,2025,25,29,29,151.2,8.78,3.98,0.22899999999999998,0.10400000000000001,3.86,4.15,4.53,0.267,0.748,1.07
Adrian Houser,- - -,2025,32,21,21,125.0,6.62,2.74,0.17800000000000002,0.073,3.31,3.81,4.3,0.303,0.773,0.72
Adrian Morejon,SDP,2025,26,75,0,73.2,8.55,2.08,0.245,0.059000000000000004,2.08,2.28,3.08,0.239,0.68,0.24
Cade Horton,CHC,2025,23,23,22,118.0,7.4,2.52,0.204,0.069,2.67,3.58,4.27,0.258,0.7829999999999999,0.76
Robbie Ray,SFG,2025,33,32,32,182.1,9.18,3.6,0.24600000000000002,0.09699999999999999,3.65,3.93,4.29,0.268,0.742,1.09
